Type,Key Number,Title,KeyCite Treatment,KeyCite URL,Document URL,Court,Date,Citation,Headnote,Document Preview
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"Acme Refrigeration of Baton Rouge, Inc. v. Whirlpool Corp.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I2eba29fc94c911d993e6d35cc61aab4a&rank=225&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I2eba29fc94c911d993e6d35cc61aab4a/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=225&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F21986116017,"United States Court of Appeals, Fifth Circuit.","March 28, 1986",785 F.2d 1240,"Parent corporation did not actively control its wholly owned subsidiary, and thus, they were not the ""same seller,"" and subsidiary's sales could not be imputed to parent for purpose of finding violation of price discrimination provision of Clayton Act, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS13&originatingDoc=I43ef4faa41c311e0a982f2e73586a872&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">15 U.S.C.A. § 13</a>, where terms of subsidiary's sales were not actively controlled by parent corporation, even though parent allegedly prepared and filed its financial reports on consolidated basis. Clayton Act, § 2, as amended by Robinson-Patman Price Discrimination Act, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS13&originatingDoc=I43ef4faa41c311e0a982f2e73586a872&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">15 U.S.C.A. § 13</a>.","Refrigeration equipment distributor brought action against manufacturer and its subsidiary, asserting antitrust, breach of contract, and fraudulent misrepresentation claims. The United..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"Friedman & Son, Inc. v. Safeway Stores, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I975e8cbcf53811d9bf60c1d57ebc853e&rank=226&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I975e8cbcf53811d9bf60c1d57ebc853e/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=226&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F41986101151,"Colorado Court of Appeals, Div. II.","November 7, 1985",712 P.2d 1128,"Factors which enter into determination of whether subsidiary corporation is instrumentality of parent corporation under a civil conspiracy claim include, whether parent corporation owns all or substantial share of subsidiary's stock, whether parent corporation financially supports subsidiary, whether substantially all of subsidiary's business is with parent corporation, and whether directors of subsidiary take direction from a parent corporation.","Purchaser of cardboard brought action for breach of contract, intentional interference with contract, and civil conspiracy against vendor and subsidiary.  The District Court, City..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"Drinkwine v. Federated Publications, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I1f54b1e094c611d9a707f4371c9c34f0&rank=227&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I1f54b1e094c611d9a707f4371c9c34f0/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=227&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F171986102525,"United States Court of Appeals, Ninth Circuit.","October 22, 1985",780 F.2d 735,"Parent company of newspaper which was charged with antitrust violations concerning its acceptance of independently prepared local display advertising could not be sued directly for alleged monopolization simply because it owned newspaper's stock and plaintiff, which produced the ""shoppers,"" did not show that the newspaper's corporate entity had been disregarded or that the newspaper was undercapitalized.","Independent preparer and seller of local display advertising which was inserted and distributed with county's sole daily newspaper sued the newspaper and its parent corporation, alleging..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"United Nat. Records, Inc. v. MCA, Inc.",,,https://www.westlaw.com/Document/I502fe468557911d9a99c85a9e6023ffa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=228&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F51985144955,"United States District Court, N.D. Illinois, Eastern Division.","September 3, 1985",616 F.Supp. 1429,Former parent corporation could not be held liable under California law for any alleged antitrust violations of its former subsidiary since parent and subsidiary maintained separate corporate personalities and holding subsidiary solely responsible for its conduct would not cause an inequitable result.,"Defendant, a former parent corporation, moved for summary judgment in antitrust action.  The District Court, Bua, J., held that former parent corporation of record and tape producer..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"U.S. v. Jon-T Chemicals, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I059c576994af11d9bc61beebb95be672&rank=229&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I059c576994af11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=229&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F151985138720,"United States Court of Appeals, Fifth Circuit.","August 16, 1985",768 F.2d 686,"Subsidiary was alter ego of parent, and parent was therefore liable for subsidies fraudulently obtained by subsidiary under upland cotton program [7 U.S.C.A. § 1444(e)], where all directors and officers of subsidiaries served as directors and officers of parent, subsidiary was wholly owned by parent, parent paid many of bills, invoices and expenses of subsidiary, parent covered subsidiary's overdrafts, made substantial loans to subsidiary without corporation resolution authorizing loans and without demanding any collateral or interest, both filed consolidated financial statements and tax returns, subsidiary used offices and computer of parent without paying any rent, salary of subsidiary's one regular employee was paid by parent, and employees of parent performed services for subsidiary without charging for their time. Agricultural Act of 1949, § 103(e), as amended, 7 U.S.C.A. § 1444(e).","After obtaining criminal conviction against corporation and individuals in connection with fraudulent misrepresentations to obtain agricultural subsidies under upland cotton program,..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"U.S. v. Jon-T Chemicals, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I059c576994af11d9bc61beebb95be672&rank=230&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I059c576994af11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=230&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F161985138720,"United States Court of Appeals, Fifth Circuit.","August 16, 1985",768 F.2d 686,"Finding that parent participated in joint ventures, or, in wrongdoing resulting in improper subsidy payments to subsidiary which had submitted fraudulent applications for agricultural subsidies under upland cotton program [7 U.S.C.A. § 1444(e)], on behalf of ventures was not required where subsidiary was alter ego of parent. Agricultural Act of 1949, § 103(e), as amended, 7 U.S.C.A. § 1444(e).","After obtaining criminal conviction against corporation and individuals in connection with fraudulent misrepresentations to obtain agricultural subsidies under upland cotton program,..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"United Nat. Records, Inc. v. MCA, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I91648233557811d9bf30d7fdf51b6bd4&rank=231&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I91648233557811d9bf30d7fdf51b6bd4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=231&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F181985122472,"United States District Court, N.D. Illinois, Eastern Division.","November 9, 1984",609 F.Supp. 33,"For a parent corporation to be held liable for antitrust conduct attributable to its subsidiary three elements must be proved: control by parent to such a degree that subsidiary had become its mere instrumentality; fraud or wrong by parent through its subsidiary; and unjust loss or injury to the claimant, such as insolvency of subsidiary.",In an antitrust action based on alleged price fixing in the record industry the defendants moved for partial summary judgment on limitations grounds and one defendant moved for summary...
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"United Nat. Records, Inc. v. MCA, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I91648233557811d9bf30d7fdf51b6bd4&rank=232&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I91648233557811d9bf30d7fdf51b6bd4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=232&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F191985122472,"United States District Court, N.D. Illinois, Eastern Division.","November 9, 1984",609 F.Supp. 33,"Factors relevant to control element necessary to hold a parent liable for antitrust violations of a subsidiary include whether parent owns all or most of the subsidiary's capital stock, whether the corporations have common officers and directors, whether the parent finances the subsidiary, whether parent subscribed to all the capital stock of the subsidiary or otherwise causes incorporation, whether subsidiary is grossly inadequately capitalized, whether parent pays salaries and other expenses or losses of subsidiary, whether subsidiary has assets other than those conveyed to it by the parent, whether parent uses property of the subsidiary as its own, whether directors or executives of the subsidiary act independently in interest of the subsidiary and whether formal legal requirements of the subsidiary are observed.",In an antitrust action based on alleged price fixing in the record industry the defendants moved for partial summary judgment on limitations grounds and one defendant moved for summary...
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,Evans Products Co. v. I.C.C.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib80b0bd8944b11d9bc61beebb95be672&rank=233&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Ib80b0bd8944b11d9bc61beebb95be672/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=233&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F11984112716,"United States Court of Appeals, Seventh Circuit.","March 12, 1984",729 F.2d 1107,"In determining whether terminal-switching rail carrier derived economic benefit from private ownership of rail cars and thus whether the carrier could charge rail car repair facilities for switching empty privately owned cars on their way to and from repair shops, ICC's decision not to pierce corporate veil of rail carrier's parent corporation, and thus not to consider economic benefit to the parent, was not arbitrary and capricious where no evidence was presented to show that separate corporate structure was maintained to avoid clear legislative purpose or that corporate form was ignored or abused.",Owners of private railroad cars and operators of repair facilities petitioned to set aside decision of ICC approving supplemental item in tariff of terminal-switching rail carrier charging...
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,U.S. v. Advance Mach. Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I620d9f86556811d997e0acd5cbb90d3f&rank=234&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I620d9f86556811d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=234&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F181982143113,"United States District Court, D. Minnesota, Third Division.","August 6, 1982",547 F.Supp. 1085,"The law will not recognize corporate formalities used to circumvent a statutory policy or to violate a law and, thus, where a violation of law is perpetrated through a corporate entity the courts will intercede to hold the shareholder or parent corporation liable.","The United States brought action alleging violation of hazard reporting requirements of Consumer Protection Safety Act. Defendant moved to dismiss or, alternatively, for summary judgment...."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"In re G & L Packing Co., Inc.",,,https://www.westlaw.com/Document/Ida6840696e7311d9bd09d9bdc1d194d4/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=235&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F71982124255,"United States Bankruptcy Court, N. D. New York.","May 24, 1982",20 B.R. 789,"Use of insolvent corporate form is in seller packer transaction is clear abuse and, to determine if another ""parent"" corporation can be found to have abused corporate form and consequentially circumvented operation of the Packer and Stockyards Act's statutory trust, court shall consider whether the corporation is inadequately capitalized entity which was under totally pervasive control of parent corporation that received subsidiary packer's statutory res. Packers and Stockyards Act, 1921, § 206(b) as amended 7 U.S.C.A. § 196(b).","Action was brought for declaration that livestock, receivables of proceeds from meat, and food products or livestock products were to be held in trust by slaughtering corporation, bank and..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,In re Chicken Antitrust Litigation,,,https://www.westlaw.com/Document/I5e6c1c85556d11d9a99c85a9e6023ffa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=236&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F11983112642,"United States District Court, N.D. Georgia, Atlanta Division.","March 22, 1982",560 F.Supp. 1006,"Three subsidiaries of a defendant in chicken antitrust litigation were not entitled to participate in settlement fund, since they were not sufficiently independent of their parent to warrant participation; they ""shared"" officers and directors, raising a strong inference of parental domination, and they were completely owned by their parent.","Subsidiaries of a defendant in chicken antitrust litigation filed a motion for clarification, asking the court to rule that they were entitled to recover as members of settlement classes,..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,U. S. v. Firestone Tire & Rubber Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6d96b6d0556211d9a99c85a9e6023ffa&rank=237&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I6d96b6d0556211d9a99c85a9e6023ffa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=237&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F161981132005,"United States District Court, N.D. Ohio, Eastern Division.","July 15, 1981",518 F.Supp. 1021,"Where American corporation did not operate its wholly owned subsidiary, a Swiss bank, as instrumentality to circumvent United States gold regulations, bank was operated at arm's length from its parent as required by Swiss law and as condition to chairman's acceptance of chairmanship, and no intrusion into independence of bank's management was detected by law auditors, bank's dealing in gold could not result in American corporation being found in violation of regulation prohibiting Americans from dealing in gold on theory that its subsidiary was merely its alter ego. Gold Reserve Act of 1934, § 3, 31 U.S.C.(1970 Ed.) § 442.","United States sued American corporation alleging that it, through a wholly owned foreign subsidiary, acquired and held gold in violation of regulations promulgated pursuant to the Gold Act...."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,U. S. v. Firestone Tire & Rubber Co.,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6d96b6d0556211d9a99c85a9e6023ffa&rank=238&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I6d96b6d0556211d9a99c85a9e6023ffa/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=238&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F181981132005,"United States District Court, N.D. Ohio, Eastern Division.","July 15, 1981",518 F.Supp. 1021,"So long as violated provision of law is extraterritorial, fact that foreign subsidiary was utilized as instrumentality to engage in violative conduct will not shield parent from liability.","United States sued American corporation alleging that it, through a wholly owned foreign subsidiary, acquired and held gold in violation of regulations promulgated pursuant to the Gold Act...."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"Island Tobacco Co., Ltd. v. R. J. Reynolds Industries, Inc.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I8b78a024556011d997e0acd5cbb90d3f&rank=239&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I8b78a024556011d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=239&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F41981118911,"United States District Court, D. Hawai‘i.","April 21, 1981",513 F.Supp. 726,"For Robinson-Patman Act price discrimination purposes, as general rule, purchase from wholly owned subsidiary will be considered as if it were made from parent company if subsidiary is alter ego or mere tool, agent or instrumentality of parent, without separate existence and pricing policy of its own, and critical element in determining whether parent and subsidiary are to be treated as single seller is control, particularly control of subsidiary's pricing and distribution policies. Clayton Act, § 2(a) as amended by Robinson-Patman Price Discrimination Act, 15 U.S.C.A. § 13(a); Robinson-Patman Price Discrimination Act, § 3, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS13A&originatingDoc=I15e5597641d011e08ac6a0e111d7a898&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">15 U.S.C.A. § 13a</a>.","In suit claiming violation of federal and state antitrust laws, the District Court, Samuel P. King, Chief Judge, held that: (1) intraenterprise transfers cannot be considered sales for..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,"Murphy Tugboat Co. v. Shipowners & Merchants Towboat Co., Ltd.",Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib4c4f60a552811d997e0acd5cbb90d3f&rank=240&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/Ib4c4f60a552811d997e0acd5cbb90d3f/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=240&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F191979115647,"United States District Court, N. D. California.","March 6, 1979",467 F.Supp. 841,"In Sherman Act suit brought against San Francisco Bay tugboat companies by former competitor, defendants' parent holding corporation was not liable for defendants' acts, since defendants were held out to be and acted as separate and independent operational and economic entities. Sherman Anti-Trust Act, § 2, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS2&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">15 U.S.C.A. § 2</a>.","A Sherman Act suit was brought against San Francisco Bay tugboat companies by a former competitor. Following a jury verdict for plaintiff, defendants moved for judgment notwithstanding that..."
Custom Digest,101 CORPORATIONS AND BUSINESS ORGANIZATIONS > 101II Disregarding Corporate Entity;  Piercing Corporate Veil > 101k1057 Particular Occasions for Determining Corporate Entity > 101k1061 Evasion or violation of law or orders in general >,In re Sugar Industry Antitrust Litigation,Yellow KeyCite,https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I662516b5917811d98e8fb00d6c6a02dd&rank=241&listSource=Search&list=CUSTOMDIGEST&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,https://www.westlaw.com/Document/I662516b5917811d98e8fb00d6c6a02dd/View/FullText.html?listSource=Search&list=CUSTOMDIGEST&rank=241&sessionScopeId=d27776b7a2d69bd2d57afd9cc1c11eb32c67b9bfd35babc0d2937a5e17fe289c&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e&originationContext=Custom%20Digest&transitionType=CustomDigestItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0#co_anchor_F41978119303,"United States Court of Appeals, Third Circuit.","March 6, 1978",579 F.2d 13,"Where sales of candy, in which price-fixed sugar was used, were made by a division of one corporation and a subsidiary of another, the division and subsidiary were to be respectively treated as an alter ego of the parent in Clayton Act suit; thus, claims were properly asserted against the parent corporations. Clayton Act, § 4, <a href=""/Link/Document/FullText?findType=L&pubNum=1000546&cite=15USCAS15&refType=LQ&contextData=%28sc.Default%29&transitionType=CustomDigestItem&ppcid=3f0ee58b7e414603ba80c35e20fa8f0e"">15 U.S.C.A. § 15</a>.","Wholesaler of candy, beverage syrup, and other products brought suit against sugar refiners, seeking treble damages under the Clayton Act because of overcharges plaintiff paid in purchasing..."
